hugo_symbol,entrez_id
ALK,238
APC,324
AR,367
ARID1A,8289
ATM,472
BRAF,673
BRCA1,672
BRCA2,675
CCND1,595
CDK4,1019
CDK6,1021
CDKN2A,1029
CTNNB1,1499
EGFR,1956
ERBB2,2064
ESR1,2099
FGFR1,2260
FGFR2,2263
FGFR3,2261
IDH1,3417
IDH2,3418
KEAP1,9817
KRAS,3845
MAP2K1,5604
MDM2,4193
MET,4233
MTOR,2475
MYC,4609
MYCN,4613
NF1,4763
NOTCH1,4851
NOTCH2,4853
NTRK1,4914
NTRK2,4915
NTRK3,4916
PIK3CA,5290
PTEN,5728
RB1,5925
RBM10,8241
RET,5979
ROS1,6098
SETD2,29072
SMAD4,4089
SMARCA4,6597
STK11,6794
TERT,7015
TP53,7157
TSC1,7248
TSC2,7249
U2AF1,7307
VHL,7428
